,Class,F1 score,Accuracy,Precision,Recall,Specificity
227,kelpie,0.6862745,0.7,0.6730769,0.7,0.99965966
228,komondor,0.8627451,0.88,0.84615386,0.88,0.99983984
229,"Old English sheepdog, bobtail",0.8679245,0.92,0.8214286,0.92,0.9997998
230,"Shetland sheepdog, Shetland sheep dog, Shetland",0.70967746,0.66,0.76744187,0.66,0.9997998
231,collie,0.59047616,0.62,0.56363636,0.62,0.9995195
232,Border collie,0.73214287,0.82,0.66129035,0.82,0.9995796
233,"Bouvier des Flandres, Bouviers des Flandres",0.69767445,0.9,0.56962025,0.9,0.9993193
234,Rottweiler,0.7058824,0.72,0.6923077,0.72,0.9996797
235,"German shepherd, German shepherd dog, German police dog, alsatian",0.80373836,0.86,0.75438595,0.86,0.99971974
236,"Doberman, Doberman pinscher",0.7083334,0.68,0.73913044,0.68,0.99975973
237,miniature pinscher,0.75,0.72,0.7826087,0.72,0.9997998
238,Greater Swiss Mountain dog,0.57142854,0.64,0.516129,0.64,0.9993994
239,Bernese mountain dog,0.8990826,0.98,0.8305085,0.98,0.9997998
240,Appenzeller,0.40476188,0.34,0.5,0.34,0.99965966
241,EntleBucher,0.71153843,0.74,0.6851852,0.74,0.99965966
242,boxer,0.70329666,0.64,0.7804878,0.64,0.9998198
243,bull mastiff,0.8,0.84,0.76363635,0.84,0.99973977
244,Tibetan mastiff,0.92307687,0.96,0.8888889,0.96,0.9998799
245,French bulldog,0.8543689,0.88,0.8301887,0.88,0.9998198
246,Great Dane,0.6666667,0.66,0.67346936,0.66,0.9996797
247,"Saint Bernard, St Bernard",0.9215687,0.94,0.90384614,0.94,0.9998999
248,"Eskimo dog, husky",0.39506173,0.32,0.516129,0.32,0.9996997
249,"malamute, malemute, Alaskan malamute",0.6868687,0.68,0.6938776,0.68,0.9996997
250,Siberian husky,0.51282054,0.6,0.4477612,0.6,0.99925923
251,"dalmatian, coach dog, carriage dog",0.9411765,0.96,0.9230769,0.96,0.9999199
252,"affenpinscher, monkey pinscher, monkey dog",0.8125,0.78,0.84782606,0.78,0.99985987
253,basenji,0.8543689,0.88,0.8301887,0.88,0.9998198
254,"pug, pug-dog",0.9423077,0.98,0.9074074,0.98,0.9998999
255,Leonberg,0.9708738,1.0,0.9433962,1.0,0.9999399
256,"Newfoundland, Newfoundland dog",0.7924529,0.84,0.75,0.84,0.99971974
257,Great Pyrenees,0.75728154,0.78,0.7358491,0.78,0.99971974
258,"Samoyed, Samoyede",0.94,0.94,0.94,0.94,0.9999399
259,Pomeranian,0.9411765,0.96,0.9230769,0.96,0.9999199
260,"chow, chow chow",0.9108911,0.92,0.9019608,0.92,0.9998999
261,keeshond,0.9052632,0.86,0.95555556,0.86,0.99995995
262,Brabancon griffon,0.86956525,0.8,0.95238096,0.8,0.99995995
263,"Pembroke, Pembroke Welsh corgi",0.7522935,0.82,0.69491524,0.82,0.99963963
264,"Cardigan, Cardigan Welsh corgi",0.7191011,0.64,0.82051283,0.64,0.99985987
265,toy poodle,0.5625,0.54,0.5869565,0.54,0.9996196
266,miniature poodle,0.59183675,0.58,0.6041667,0.58,0.9996196
267,standard poodle,0.80733943,0.88,0.7457627,0.88,0.9996997
268,Mexican hairless,0.92,0.92,0.92,0.92,0.9999199
269,"timber wolf, grey wolf, gray wolf, Canis lupus",0.7378641,0.76,0.7169811,0.76,0.9996997
270,"white wolf, Arctic wolf, Canis lupus tundrarum",0.80733943,0.88,0.7457627,0.88,0.9996997
271,"red wolf, maned wolf, Canis rufus, Canis niger",0.65168536,0.58,0.74358976,0.58,0.9997998
272,"coyote, prairie wolf, brush wolf, Canis latrans",0.66019416,0.68,0.6415094,0.68,0.9996196
273,"dingo, warrigal, warragal, Canis dingo",0.72897196,0.78,0.68421054,0.78,0.99963963
274,"dhole, Cuon alpinus",0.87850463,0.94,0.8245614,0.94,0.9997998
275,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",0.9607843,0.98,0.9423077,0.98,0.9999399
276,"hyena, hyaena",0.92,0.92,0.92,0.92,0.9999199
277,"red fox, Vulpes vulpes",0.59615386,0.62,0.5740741,0.62,0.99953955
278,"kit fox, Vulpes macrotis",0.5744681,0.54,0.6136364,0.54,0.99965966
279,"Arctic fox, white fox, Alopex lagopus",0.8952381,0.94,0.8545455,0.94,0.99983984
280,"grey fox, gray fox, Urocyon cinereoargenteus",0.6857143,0.72,0.6545454,0.72,0.9996196
281,"tabby, tabby cat",0.60377353,0.64,0.5714286,0.64,0.9995195
282,tiger cat,0.3030303,0.2,0.625,0.2,0.9998799
283,Persian cat,0.8737864,0.9,0.8490566,0.9,0.99983984
284,"Siamese cat, Siamese",0.8571428,0.9,0.8181818,0.9,0.9997998
285,Egyptian cat,0.5233645,0.56,0.49122807,0.56,0.9994194
286,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",0.8910891,0.9,0.88235295,0.9,0.9998799
287,"lynx, catamount",0.7083334,0.68,0.73913044,0.68,0.99975973
